epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.315,1.8658,2.26824,1.15566,0.16519,0.57651,0.40415,0.2144,1.7725,2.65785,1.105,0.0808732,0.000591549,0.000591549
2,536.466,1.56067,1.10087,1.03042,0.69243,0.58465,0.60761,0.37506,1.59288,1.23772,1.01394,0.0613553,0.00107359,0.00107359
3,801.346,1.47428,0.92699,1.00559,0.78395,0.58873,0.60599,0.35253,1.54671,1.15514,0.96209,0.0417185,0.00143682,0.00143682
4,1067.15,1.41585,0.82931,0.98397,0.75681,0.65947,0.66878,0.42859,1.43618,1.17134,0.95255,0.0219629,0.00168126,0.00168126
5,1335.71,1.37239,0.77852,0.97144,0.81401,0.67542,0.68984,0.42985,1.57857,0.90737,0.97796,0.00208859,0.0018069,0.0018069
6,1600.8,1.35402,0.74432,0.96122,0.76193,0.73175,0.77834,0.50165,1.34931,0.7334,0.94019,0.001515,0.001515,0.001515
7,1866.81,1.32036,0.70205,0.94777,0.82698,0.78311,0.78476,0.52196,1.20982,0.67895,0.89828,0.001218,0.001218,0.001218
8,2134.83,1.2524,0.66258,0.9306,0.85049,0.79756,0.80076,0.52556,1.25947,0.66827,0.9122,0.000921,0.000921,0.000921
9,2408.95,1.23586,0.64438,0.92653,0.87236,0.7779,0.8105,0.52966,1.31902,0.66401,0.93968,0.000624,0.000624,0.000624
10,2680.47,1.21517,0.62548,0.92322,0.87378,0.78534,0.81127,0.55836,1.27039,0.61919,0.91828,0.000327,0.000327,0.000327
