epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.222,2.1259,2.87956,1.22843,0.03996,0.18151,0.05002,0.02202,2.33869,3.50856,1.2923,0.0811389,0.000583333,0.000583333
2,731.293,1.76324,1.48895,1.08469,0.22732,0.52319,0.36162,0.21504,1.65985,2.66785,1.05981,0.0617291,0.00117357,0.00117357
3,1079.44,1.66883,1.17446,1.05184,0.79145,0.51661,0.60627,0.32998,1.46763,1.2857,0.96608,0.0423095,0.00175391,0.00175391
4,1435.68,1.56129,1.01829,1.01937,0.83013,0.48646,0.59215,0.33014,1.49185,1.23756,0.99109,0.0228799,0.00232435,0.00232435
5,1793.13,1.53913,0.94966,1.01044,0.71417,0.46261,0.52426,0.31663,1.52281,1.23164,1.00728,0.00344044,0.00288488,0.00288488
6,2146.97,1.53964,0.92116,1.00788,0.79349,0.53102,0.63989,0.3769,1.43648,1.01336,0.9803,0.00287625,0.00287625,0.00287625
7,2500.54,1.4961,0.86554,0.99185,0.80236,0.67303,0.66863,0.39231,1.39347,0.87998,0.9552,0.0028515,0.0028515,0.0028515
8,2853.04,1.43078,0.82312,0.97407,0.81331,0.60616,0.67718,0.43217,1.2765,0.8925,0.9288,0.00282675,0.00282675,0.00282675
9,3208.8,1.42794,0.80333,0.9663,0.80594,0.62116,0.66006,0.41669,1.3511,0.83466,0.93152,0.002802,0.002802,0.002802
10,3558.52,1.40208,0.78534,0.96461,0.82701,0.702,0.77237,0.46069,1.32953,0.81243,0.93531,0.00277725,0.00277725,0.00277725
11,3911.87,1.39935,0.77407,0.96116,0.85824,0.63915,0.74596,0.47553,1.31829,0.81508,0.94523,0.0027525,0.0027525,0.0027525
12,4265.3,1.36557,0.74235,0.95126,0.90132,0.69959,0.74823,0.46929,1.30972,0.77609,0.93622,0.00272775,0.00272775,0.00272775
13,4619.05,1.37332,0.7429,0.95406,0.71343,0.77443,0.75635,0.49496,1.27576,0.78976,0.94275,0.002703,0.002703,0.002703
14,4972.93,1.33425,0.72509,0.93887,0.73409,0.79046,0.777,0.49092,1.26534,0.78644,0.92666,0.00267825,0.00267825,0.00267825
15,5322.88,1.35549,0.73368,0.94913,0.78683,0.79812,0.78621,0.50741,1.25702,0.76612,0.92831,0.0026535,0.0026535,0.0026535
16,5674.16,1.35178,0.7106,0.94256,0.80083,0.77645,0.78363,0.49967,1.23819,0.78889,0.90691,0.00262875,0.00262875,0.00262875
17,6027.15,1.34655,0.7073,0.95086,0.77642,0.79128,0.79859,0.51997,1.23767,0.73656,0.91762,0.002604,0.002604,0.002604
18,6382.37,1.32642,0.69649,0.93693,0.78869,0.76364,0.75211,0.47536,1.30686,0.81606,0.94217,0.00257925,0.00257925,0.00257925
19,6738.24,1.30678,0.68066,0.93546,0.87897,0.7749,0.79945,0.50613,1.2733,0.72625,0.91352,0.0025545,0.0025545,0.0025545
20,7090.5,1.36515,0.69461,0.948,0.87359,0.77004,0.79052,0.49215,1.25192,0.73214,0.91673,0.00252975,0.00252975,0.00252975
21,7445.91,1.28828,0.66828,0.93158,0.8501,0.77325,0.79082,0.52949,1.21586,1.07831,0.90939,0.002505,0.002505,0.002505
22,7797.34,1.28791,0.67104,0.92848,0.83356,0.75874,0.75745,0.49027,1.26604,0.7364,0.91969,0.00248025,0.00248025,0.00248025
23,8151.86,1.28871,0.65701,0.92424,0.86185,0.80168,0.81058,0.5354,1.19795,0.71797,0.90072,0.0024555,0.0024555,0.0024555
24,8512.36,1.26428,0.6431,0.91955,0.8505,0.77987,0.78012,0.53469,1.24582,0.71909,0.92213,0.00243075,0.00243075,0.00243075
25,8870.5,1.26995,0.64884,0.91873,0.78975,0.58703,0.69933,0.46313,1.23392,1.06465,0.92242,0.002406,0.002406,0.002406
26,9225.22,1.25854,0.63748,0.92066,0.9124,0.777,0.80693,0.53688,1.19524,0.68913,0.88785,0.00238125,0.00238125,0.00238125
27,9573.47,1.2625,0.64297,0.9193,0.87292,0.78822,0.81056,0.53915,1.17768,0.69809,0.89798,0.0023565,0.0023565,0.0023565
28,9923.68,1.23704,0.6268,0.91512,0.82534,0.7612,0.79995,0.52833,1.18148,1.22532,0.89555,0.00233175,0.00233175,0.00233175
29,10276.5,1.28704,0.64911,0.92684,0.8172,0.78508,0.7894,0.51352,1.2295,0.82979,0.90242,0.002307,0.002307,0.002307
30,10632.5,1.28431,0.6443,0.92073,0.88212,0.77433,0.82276,0.55488,1.18575,0.67316,0.89792,0.00228225,0.00228225,0.00228225
31,10987.2,1.25664,0.63274,0.91877,0.79941,0.77917,0.78302,0.50865,1.23385,0.75313,0.91684,0.0022575,0.0022575,0.0022575
32,11342.6,1.25343,0.62539,0.91533,0.88908,0.7902,0.82156,0.55353,1.14464,0.64648,0.88212,0.00223275,0.00223275,0.00223275
33,11695.3,1.25017,0.62711,0.91754,0.87378,0.76955,0.80123,0.54823,1.19367,0.69636,0.90605,0.002208,0.002208,0.002208
