epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.796,1.61674,0.85201,1.08343,0.85957,0.77159,0.80244,0.41318,1.49189,0.76336,1.03461,0.0812676,0.000985915,0.000985915
2,660.39,1.41342,0.75273,1.01582,0.87705,0.7711,0.78231,0.39268,1.64689,0.80757,1.00266,0.0622283,0.00194659,0.00194659
3,986.291,1.41248,0.74796,1.0171,0.81672,0.63417,0.66528,0.34667,1.60652,0.86579,1.00824,0.0431494,0.00286767,0.00286767
4,1313.94,1.3485,0.7172,0.99311,0.7423,0.76746,0.75336,0.41581,1.37958,0.79114,1.03381,0.0240308,0.00374915,0.00374915
5,1642.49,1.34193,0.71089,0.99376,0.82228,0.72323,0.7557,0.39112,1.47438,0.82398,0.98462,0.00487272,0.00459103,0.00459103
6,1971.39,1.36223,0.72683,1.0004,0.85769,0.70201,0.76969,0.40353,1.5624,1.01243,1.02348,0.004505,0.004505,0.004505
7,2302.06,1.32091,0.70051,0.98387,0.87934,0.75465,0.77202,0.39319,1.50432,0.7689,0.98555,0.004406,0.004406,0.004406
8,2639.07,1.34078,0.70156,0.98785,0.89284,0.68075,0.78106,0.48681,1.56635,0.74075,0.97639,0.004307,0.004307,0.004307
9,2978.8,1.29032,0.68777,0.97799,0.81806,0.83837,0.8185,0.45659,1.29821,0.74367,0.93141,0.004208,0.004208,0.004208
10,3300.54,1.2744,0.6782,0.97905,0.86593,0.78413,0.80023,0.47861,1.34981,0.71301,0.98472,0.004109,0.004109,0.004109
11,3616.58,1.28261,0.67632,0.97255,0.75465,0.77094,0.75248,0.44353,1.52109,0.84232,0.95987,0.00401,0.00401,0.00401
12,3932.21,1.25949,0.66091,0.973,0.84437,0.81749,0.81019,0.44575,1.27654,0.66318,0.9059,0.003911,0.003911,0.003911
13,4247.32,1.24763,0.65178,0.96705,0.85403,0.7596,0.77435,0.43311,1.33827,0.67853,0.93829,0.003812,0.003812,0.003812
14,4564.09,1.23158,0.64562,0.96435,0.85601,0.79377,0.81103,0.46815,1.33505,0.68728,0.9948,0.003713,0.003713,0.003713
15,4879.37,1.22525,0.63777,0.95945,0.86944,0.79022,0.80085,0.47355,1.30805,0.72611,0.97234,0.003614,0.003614,0.003614
16,5189.22,1.22238,0.63612,0.95706,0.85446,0.77675,0.8075,0.45968,1.47478,0.72904,0.98917,0.003515,0.003515,0.003515
17,5502.08,1.20801,0.62681,0.95849,0.85139,0.82545,0.82423,0.46425,1.27202,0.6677,0.93697,0.003416,0.003416,0.003416
18,5809.6,1.19541,0.62198,0.94994,0.84918,0.78314,0.80053,0.47274,1.3154,0.66048,0.96458,0.003317,0.003317,0.003317
19,6122.97,1.16635,0.60369,0.94488,0.87397,0.81196,0.82482,0.46275,1.25241,0.62471,0.954,0.003218,0.003218,0.003218
20,6435.18,1.16434,0.60548,0.94805,0.87942,0.81628,0.82066,0.49373,1.28295,0.67189,0.96539,0.003119,0.003119,0.003119
21,6748.86,1.19239,0.61851,0.95449,0.89501,0.76936,0.81487,0.49562,1.27829,0.70377,0.94781,0.00302,0.00302,0.00302
22,7075.03,1.20272,0.61186,0.95207,0.81451,0.78906,0.80927,0.47119,1.24838,0.6869,0.95517,0.002921,0.002921,0.002921
23,7406.47,1.22347,0.62046,0.94926,0.88513,0.80316,0.81991,0.46949,1.29302,0.66329,0.99974,0.002822,0.002822,0.002822
24,7736.79,1.15303,0.59015,0.93719,0.84758,0.81594,0.81276,0.50356,1.34281,0.67461,1.01177,0.002723,0.002723,0.002723
25,8059.55,1.15668,0.59196,0.93918,0.88461,0.81305,0.82157,0.49226,1.17961,0.61299,0.9311,0.002624,0.002624,0.002624
26,8381.82,1.13483,0.58238,0.93676,0.87319,0.81244,0.82497,0.48396,1.28042,0.68214,0.92614,0.002525,0.002525,0.002525
27,8704.76,1.14381,0.58531,0.93747,0.88825,0.79432,0.81338,0.51122,1.36088,0.68409,0.96281,0.002426,0.002426,0.002426
28,9027.78,1.12453,0.57729,0.93213,0.87023,0.80909,0.81201,0.48228,1.26645,0.68158,0.92368,0.002327,0.002327,0.002327
29,9346.64,1.12772,0.58144,0.93647,0.90191,0.77794,0.80582,0.47465,1.33217,0.65243,0.95676,0.002228,0.002228,0.002228
30,9671.78,1.11928,0.57478,0.93408,0.90618,0.78283,0.80746,0.50084,1.2094,0.62364,0.93417,0.002129,0.002129,0.002129
31,10000.2,1.11029,0.56955,0.92953,0.8914,0.82591,0.83747,0.54376,1.27353,0.60208,0.92534,0.00203,0.00203,0.00203
32,10330.2,1.11852,0.5709,0.93136,0.88917,0.83189,0.82868,0.53319,1.23551,0.6345,0.93647,0.001931,0.001931,0.001931
33,10661.6,1.12473,0.57069,0.93048,0.87608,0.83374,0.82741,0.53449,1.21616,0.61836,0.9053,0.001832,0.001832,0.001832
34,10986.8,1.10883,0.56726,0.93135,0.88424,0.82094,0.8238,0.5083,1.21808,0.64507,0.95275,0.001733,0.001733,0.001733
35,11310.8,1.10351,0.56471,0.93122,0.87939,0.80431,0.79804,0.51368,1.2587,0.66029,0.91565,0.001634,0.001634,0.001634
36,11641,1.10127,0.56399,0.92775,0.90616,0.82399,0.82776,0.50514,1.17253,0.57945,0.92525,0.001535,0.001535,0.001535
37,11969.8,1.08911,0.55672,0.92758,0.88419,0.7998,0.81008,0.51069,1.33916,0.67223,0.92722,0.001436,0.001436,0.001436
38,12299.2,1.08396,0.55461,0.92585,0.88655,0.82559,0.82683,0.51409,1.20442,0.61855,0.93301,0.001337,0.001337,0.001337
39,12624.9,1.07161,0.54288,0.92087,0.9038,0.81819,0.83316,0.52685,1.20224,0.59873,0.91991,0.001238,0.001238,0.001238
40,12953.4,1.07429,0.54365,0.91928,0.88724,0.83073,0.83502,0.54454,1.23748,0.59264,0.91622,0.001139,0.001139,0.001139
41,13238,0.98956,0.48578,0.89974,0.87254,0.82585,0.82998,0.52463,1.20869,0.58431,0.9118,0.00104,0.00104,0.00104
