epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.711,2.34151,3.60648,1.30708,0.05804,0.47776,0.21937,0.12837,1.61385,3.50431,1.04761,0.000172864,0.000172864,0.000172864
2,602.783,1.77358,1.72465,1.04271,0.84693,0.49566,0.53052,0.32145,1.50177,1.77822,1.01348,0.000341303,0.000341303,0.000341303
3,900.185,1.63742,1.32251,1.0012,0.83874,0.54184,0.58023,0.36533,1.47975,1.31675,0.99043,0.000502799,0.000502799,0.000502799
4,1191.87,1.49733,1.09298,0.97348,0.87859,0.54982,0.62654,0.39224,1.41908,1.28868,0.9918,0.000494756,0.000494756,0.000494756
5,1485.92,1.47119,1.00983,0.96352,0.87936,0.633,0.67077,0.44031,1.41838,1.07392,0.96942,0.000484341,0.000484341,0.000484341
6,1779.87,1.41317,0.93994,0.95558,0.85707,0.65012,0.67271,0.43806,1.40203,0.97633,0.95653,0.000473926,0.000473926,0.000473926
7,2074.27,1.39211,0.89077,0.94735,0.86682,0.63863,0.66799,0.44344,1.3882,0.95683,0.96317,0.000463511,0.000463511,0.000463511
8,2376.37,1.34346,0.86004,0.93286,0.89501,0.64394,0.76996,0.50353,1.47932,0.90704,0.99065,0.000453096,0.000453096,0.000453096
9,2674.24,1.35611,0.8393,0.93169,0.7533,0.77046,0.77701,0.53792,1.34604,0.94293,0.94879,0.000442682,0.000442682,0.000442682
10,2973.17,1.30974,0.79647,0.92892,0.80065,0.77667,0.77728,0.52301,1.34586,0.8189,0.95884,0.000432267,0.000432267,0.000432267
11,3267.37,1.29922,0.77413,0.9221,0.77315,0.83717,0.80033,0.5371,1.36637,0.8364,0.95669,0.000421852,0.000421852,0.000421852
12,3564.43,1.28867,0.76375,0.92489,0.77626,0.80951,0.78658,0.53403,1.30811,0.81729,0.93273,0.000411437,0.000411437,0.000411437
