epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,983.65,1.67603,2.5711,1.39702,0.29346,0.4005,0.3072,0.15362,1.91763,2.53532,1.38934,0.080778,0.000594495,0.000594495
2,1995.63,1.46498,1.97092,1.26629,0.37096,0.49523,0.39865,0.23937,1.49887,2.34467,1.18359,0.0612597,0.00107624,0.00107624
3,2979.16,1.39958,1.79906,1.22564,0.45058,0.53692,0.49154,0.30569,1.40663,1.60989,1.10876,0.0416227,0.00143919,0.00143919
4,3933.85,1.33723,1.6647,1.18982,0.46661,0.60851,0.52535,0.29832,1.49287,1.52079,1.1253,0.0218668,0.00168333,0.00168333
5,4884.83,1.31403,1.61949,1.1797,0.47747,0.61734,0.56808,0.29187,1.64354,1.62054,1.19932,0.00199216,0.00180868,0.00180868
6,5837.82,1.29045,1.55175,1.1588,0.54711,0.62555,0.60423,0.36067,1.4417,1.37204,1.11056,0.001515,0.001515,0.001515
7,6787.64,1.24452,1.48864,1.13733,0.51061,0.63244,0.60625,0.35217,1.49308,1.33771,1.11404,0.001218,0.001218,0.001218
8,7743.55,1.21027,1.43069,1.11444,0.57366,0.62921,0.63471,0.39728,1.31239,1.28532,1.05285,0.000921,0.000921,0.000921
9,8692.79,1.18489,1.37572,1.10261,0.57413,0.66539,0.64847,0.38526,1.42812,1.25315,1.08603,0.000624,0.000624,0.000624
10,9645.81,1.17012,1.34039,1.09467,0.57597,0.67728,0.65786,0.43001,1.25428,1.19832,1.02957,0.000327,0.000327,0.000327
